Agency,Budget year,est_completion,est_expenditure,est_rem,Fixed notes,Project,Project type,Sector,TEI
Department of Transport and Planning,2015,qtr 4 2016‑17,35000000,624000000,"Includes level crossing removals at Blackburn Road (Blackburn), Burke Road (Glen Iris) and North Road (Ormond). TEI includes $151.000 million of Commonwealth funding for Main Road (St Albans) previously reported within Regional Rail Link. Project renamed from Metro Level Crossing Blitz Program.",Level crossing removal projects (metro various),Existing,Transport,659000000
Department of Transport and Planning,2015,qtr 4 2016‑17,42000000,26000000,,Metro Level Crossing Blitz program (metro various),New,Transport,69000000
Department of Transport and Planning,2015,qtr 1 2016‑17,84000000,72000000,,Dingley Bypass between Warrigal Road to Westall Road (Dingley),Existing,Transport,156000000
Department of Transport and Planning,2015,qtr 4 2015‑16,87000000,53000000,Includes previously reported Arterial road restoration (statewide).,Targeted Road restoration (statewide),Existing,Transport,140000000
Department of Transport and Planning,2015,qtr 4 2018‑19,128000000,132000000,"TEI has increased by $85.000 million. This is due to an increase in project scope to include duplication east of Traralgon, east of Rosedale and west of Fulham. Project TEI includes $210.000 million of Commonwealth funding.",Princes Highway East - Traralgon to Sale duplication (non‑metro various),Existing,Transport,260000000
Department of Transport and Planning,2015,qtr 2 2022‑23,138000000,572000000,TEI has increased by $169.474 million. This is due to a reassessment of the estimated mix of projects between capital and output. The total program spend remains the same.,Road Safety Strategy 2013‑22 (statewide),Existing,Transport,711000000
Department of Transport and Planning,2015,qtr 4 2017‑18,319000000,344000000,TEI has increased by $157.300 million. This is due to an increase in project scope to include Buangor to Ararat duplication. Project TEI includes $501.300 million of Commonwealth funding.,Western Highway duplication - Ballarat to Stawell (non‑metro various),Existing,Transport,662000000
Goulburn Murray Rural Water Corporation,2015,qtr 4 2017‑18,595000000,227000000,,Connections project (non‑metro various),Existing,Water,823000000
Other PNFC,2015,qtr 4 2019‑20,22000000,316000000,TEI has reduced by $27.990 million due to clarification of funding sources.,Melbourne Park Redevelopment - stage two (Melbourne),Existing,"Culture, sport and community",338000000
Port of Hastings Development Authority,2015,Discontinued,0,0,Relevant remaining components of the project have been transferred from capital to output funding.,Port of Hastings development (Hastings),Discontinued,Transport,0
Port of Melbourne Corporation,2015,na,417000000,224000000,"Due to the Port of Melbourne lease transaction, the budget does not take into account any Port of Melbourne Corporation financial data beyond 2015‑16.",Port capacity expansion project (Melbourne),Existing,Transport,641000000
Victorian Rail Track,2015,Discontinued,0,0,,Melbourne Rail Link (metro various),Discontinued,Transport,0
Victorian Rail Track,2015,qtr 4 2021‑22,0,1301000000,"Includes procurement of 37 high capacity metropolitan trains, new maintenance depot and associated network upgrades. New trains and depot to be procured as a public private partnership. The total estimated investment includes estimated capital costs only.",High‑capacity metro trains (metro various),New,Transport,1301000000
Victorian Rail Track,2015,qtr 1 2018‑19,0,257000000,,New VLocity carriages for the regional network (non‑metro various),New,Transport,257000000
Victorian Rail Track,2015,qtr 2 2018‑19,0,295000000,,New E‑Class trams (metro various),New,Transport,295000000
Victorian Rail Track,2015,qtr 2 2018‑19,0,360000000,,Conventional signalling upgrade - Caulfield to Dandenong (metro various),New,Transport,360000000
Victorian Rail Track,2015,qtr 4 2015‑16,1112000000,64000000,,Metropolitan rolling stock (metro various),Existing,Transport,1175000000
Victorian Rail Track,2015,qtr 4 2018‑19,1000000,99000000,The TEI includes funding announced in Getting On With It.,Flinders Street Station Redevelopment (Melbourne),New,Transport,100000000
Victorian Rail Track,2015,qtr 4 2017‑18,16000000,204000000,TEI is estimated to be between $180 million and $220 million. The TEI includes funding announced in Getting On With It. The business case is currently being finalised and will provide options for how best to progress the next stage.,Murray Basin Rail Project (non‑metro various),Existing,Transport,220000000
Victorian Rail Track,2015,2026,40000000,10960000000,The TEI includes funding announced in Getting On With It.,Melbourne Metro Rail Project (metro various),New,Transport,11000000000
Victorian Rail Track,2015,qtr 4 2016‑17,69000000,46000000,,Bayside rail improvements (metro various),Existing,Transport,115000000
Victorian Rail Track,2015,qtr 4 2015‑16,109000000,36000000,TEI has decreased by $33.000 million. This is due to project savings.,New trains for Melbourne commuters (metro various),Existing,Transport,145000000
Victorian Rail Track,2015,qtr 4 2015‑16,123000000,48000000,,Regional rail network major periodic maintenance (passenger and freight) (non‑metro various),Existing,Transport,172000000
Victorian Rail Track,2015,qtr 4 2015‑16,163000000,20000000,TEI has decreased by $5.000 million. This is due to project savings.,New stations in growth areas (metro various),Existing,Transport,184000000
Victorian Rail Track,2015,qtr 4 2015‑16,186000000,22000000,TEI has decreased by $3.000 million. This is due to project savings.,40 New trains for Melbourne commuters - stage 1 (metro various),Existing,Transport,207000000
Victorian Rail Track,2015,qtr 2 2017‑18,196000000,55000000,TEI has decreased by $10.000 million. This is due to project savings.,Regional rolling stock - new tranche (non‑metro various),Existing,Transport,251000000
Victorian Rail Track,2015,qtr 4 2019‑20,265000000,580000000,"TEI incorporates all capital funding for metropolitan rail infrastructure renewals from 2013‑14 to 2019‑20. The TEI has increased, as this is a rolling program of works and the TEI varies from year to year.",Metropolitan rail infrastructure renewal program (metro various),Existing,Transport,844000000
Victorian Rail Track,2015,qtr 4 2017‑18,421000000,383000000,,Tram procurement and supporting infrastructure (metro various),Existing,Transport,804000000
Victorian Rail Track,2015,qtr 4 2016-17,534000000,53000000,TEI has decreased by $20.000 million. This is due to project savings.,myki (new ticketing solution – technology and installation),Existing,Transport,586000000
Department of Education,2016,qtr 4 2016‑17,238000000,10000000,,Trade training centres - government schools (statewide) (various),Existing,Education and Training,248000000
"Department of Environment, Energy and Climate Action",2016,qtr 2 2053‑54,27000000,307000000,,Melbourne strategic assessment (metro various),Existing,Environment,334000000
Department of Health,2016,qtr 4 2019‑20,0,106000000,,Casey Hospital Expansion (Berwick),Existing,Health and human services,106000000
Department of Health,2016,tbc,0,135000000,"Additional funding of $15.000 million was provided in 2015‑16 for planning and development, bringing the Government's contribution to $150.000 million. Final project TEI and completion date will be determined following completion of business planning and development, and confirmation of funding contributions from project partners.",Victorian Heart Hospital (Clayton),New,Health and human services,135000000
Department of Health,2016,qtr 4 2020‑21,0,169000000,"Additional funding of $1.000 million was provided in 2015‑16 for planning and development, bringing the Government's contribution to $169.525 million.",Goulburn Valley Health redevelopment (Shepparton),New,Health and human services,169000000
Department of Health,2016,qtr 4 2019‑20,5000000,195000000,,Joan Kirner Women's and Children's Hospital (St Albans),Existing,Health and human services,200000000
Department of Health,2016,qtr 2 2018‑19,77000000,124000000,"The TEI for this project has increased due to an additional $31.400 million provided in 2016‑17 (including a $10.000 million contribution from the health service) in order to complete the project. The health service has also separately funded $4.600 million for the addition of a new Education Centre, bringing the combined TEI to $201.000 million.",Royal Victorian Eye and Ear Hospital redevelopment (Melbourne),Existing,Health and human services,201000000
Department of Health,2016,qtr 1 2018‑19,97000000,21000000,The project completion date has been revised to reflect the additional separate scope funded in 2014‑15.,Geelong Hospital - major upgrade (Geelong),Existing,Health and human services,118000000
Department of Health,2016,qtr 2 2016‑17,97000000,32000000,,Bendigo Hospital - Redevelopment (Bendigo),Existing,Health and human services,129000000
Department of Health,2016,qtr 2 2016‑17,164000000,95000000,"The TEI for this project includes $3.800 million for the MCH Helipad, reported as a separate project in the 2015‑16 budget. The TEI has also increased due to $4.375 million in additional funding provided by Monash University for accommodation space.",Monash Children's Hospital (Clayton),Existing,Health and human services,258000000
Department of Health,2016,qtr 4 2016‑17,430000000,18000000,The project completion date has been revised to reflect the separate ICT component of the project.,Box Hill Hospital - Redevelopment (Box Hill),Existing,Health and human services,448000000
Department of Justice and Community Safety,2016,qtr 4 2020‑21,0,149000000,,Public Safety - Police Response (statewide),New,Justice and emergency services,149000000
Department of Justice and Community Safety,2016,qtr 4 2017-18,48000000,35000000,EI has reduced due to $25.000 million redirected to Corrections Remand upgrades. A change in scope involving the Dame Phyllis Frost Centre has resulted in a change in the completion date,Corrections system expansion (statewide),Existing,Justice and emergency services,83000000
Department of Justice and Community Safety,2016,qtr 2 2017‑18,234000000,23000000,"This initiative includes $9.152 million reprioritised funding from the Building confidence in corrections asset initiative, with $0.217 million redirected to Critical infrastructure and services.",Increase Prison Capacity (statewide),Existing,Justice and emergency services,256000000
Department of Transport and Planning,2016,qtr 4 2018‑19,0,56000000,Balance of election commitment was delivered in the 2015‑16 Budget.,Streamlining Hoddle Street (Richmond),New,Transport,56000000
Department of Transport and Planning,2016,qtr 4 2018‑19,0,78000000,The TEI represents total value of the project and is subject to matching Commonwealth Government funding.,O'Herns Road upgrade (Epping),New,Transport,78000000
Department of Transport and Planning,2016,qtr 4 2019‑20,0,103000000,Balance of election commitment was delivered in the 2015‑16 Budget.,Drysdale bypass (Drysdale),New,Transport,103000000
Department of Transport and Planning,2016,qtr 4 2019‑20,0,126000000,Balance of election commitment was delivered in the 2015‑16 Budget.,Yan Yean Road duplication (Plenty),New,Transport,126000000
Department of Transport and Planning,2016,tbc,0,139000000,,Plenty Road Upgrade (Mill Park),New,Transport,139000000
Department of Transport and Planning,2016,qtr 4 2018‑19,0,148000000,Balance of election commitment was delivered in the 2015‑16 Budget.,Thompsons Road duplication (Lyndhurst),New,Transport,148000000
Department of Transport and Planning,2016,qtr 4 2020‑21,0,266000000,Initiative is to be funded and delivered by the Transport Accident Commission.,Road Safety (statewide),New,Transport,266000000
Department of Transport and Planning,2016,qtr 2 2018‑19,3000000,297000000,TEI includes $150 million of Commonwealth funding.,M80 upgrade - Sunshine Avenue to Calder Fwy (Sunshine North),New,Transport,300000000
Department of Transport and Planning,2016,qtr 2 2018‑19,4000000,106000000,,"Chandler Highway upgrade (Alphington, Kew)",Existing,Transport,110000000
Department of Transport and Planning,2016,qtr 2 2018‑19,13000000,66000000,,Optimising transport network performance - congestion package (statewide),Existing,Transport,80000000
Department of Transport and Planning,2016,2022,18000000,5482000000,"The project is anticipated to be funded through a combination of tolls on the new road connections, an extension to CityLink concession and a government contribution. The cash flows in this table represent the State's expected contribution over the forward estimates.",Western Distributor (metropolitan various),New,Transport,5500000000
Department of Transport and Planning,2016,qtr 4 2018‑19,27000000,322000000,TEI includes $181.735 million of Commonwealth funding.,Princes Highway duplication project - Winchelsea to Colac (non‑metro various),Existing,Transport,349000000
Department of Transport and Planning,2016,qtr 4 2016‑17,64000000,5000000,,Metro Level Crossing Blitz program (metro various),Existing,Transport,69000000
Department of Transport and Planning,2016,qtr 2 2017‑18,74000000,423000000,TEI includes $200.000 million of Commonwealth funding and covers the total funding of the state delivered components of the project.,CityLink‑Tulla widening project - CityLink Tunnel to Melbourne Airport (metro various),Existing,Transport,497000000
Department of Transport and Planning,2016,qtr 4 2018‑19,166000000,94000000,TEI includes $210.000 million of Commonwealth funding.,Princes Highway East - Traralgon to Sale duplication (non‑metro various),Existing,Transport,260000000
Department of Transport and Planning,2016,qtr 2 2022‑23,204000000,507000000,,Road Safety Strategy 2013‑22 (statewide),Existing,Transport,711000000
Department of Transport and Planning,2016,qtr 2 2022‑23,303000000,5697000000,The TEI includes funding approved as part of the Getting On With It Initiative. Funding will be released progressively as planning for packages of work are completed and projects released to market for tender.,Level Crossing Removal Program (metro various),Existing,Transport,6000000000
Department of Transport and Planning,2016,qtr 4 2016‑17,345000000,315000000,"TEI represents funding provided for level crossing removals Blackburn Road (Blackburn), Burke Road (Glen Iris), Main Road (St Albans) and North Road (Ormond). Burke Road (Glen Iris) level crossing removal is expected to be completed before 30 June 2016. TEI includes $151.000 million of Commonwealth funding for Main Road (St Albans).",Level crossing removal projects (metro various),Existing,Transport,659000000
Department of Transport and Planning,2016,qtr 3 2018‑19,430000000,232000000,TEI includes $501.300 million of Commonwealth funding.,Western Highway duplication - Ballarat to Stawell (non‑metro various),Existing,Transport,662000000
Goulburn Murray Rural Water Corporation,2016,qtr 4 2017‑18,716000000,211000000,TEI has increased compared to the 2015‑16 Budget due to a change in accounting treatment of capital and output expenditure.,Connections project (non‑metro various),Existing,Water,927000000
Other PNFC,2016,qtr 2 2019‑20,87000000,251000000,,Melbourne Park Redevelopment - stage two (Melbourne),Existing,"Culture, sport and community",338000000
Port of Melbourne Corporation,2016,ongoing,457000000,141000000,,Port capacity expansion project (Melbourne),Existing,Transport,598000000
Victorian Rail Track,2016,qtr 4 2019‑20,0,133000000,,City Loop fire and safety upgrade (stage 2) and intruder alarm (Melbourne),New,Transport,133000000
Victorian Rail Track,2016,qtr 4 2019‑20,0,229000000,,More regional trains (non‑metro various),New,Transport,229000000
Victorian Rail Track,2016,qtr 4 2019‑20,0,517000000,,Ballarat rail upgrade (non‑metro various),New,Transport,517000000
Victorian Rail Track,2016,qtr 1 2023‑24,0,875000000,The TEI is additional to funding of $1.301 billion in the 2015‑16 Budget. The new trains and depot will be procured as a public private partnership and the final financial impacts will be confirmed following the conclusion of the procurement process.,28 more high capacity metro trains (metro various),New,Transport,875000000
Victorian Rail Track,2016,qtr 4 2018‑19,1000000,135000000,,Hurstbridge Corridor Upgrade (non‑metro various),New,Transport,136000000
Victorian Rail Track,2016,qtr 4 2018‑19,12000000,88000000,,Flinders Street Station Redevelopment (Melbourne),Existing,Transport,100000000
Victorian Rail Track,2016,qtr 2 2018‑19,12000000,575000000,$9.000 million in development funding was provided in the 2015‑16 Budget.,Mernda rail extension project (Mernda),New,Transport,588000000
Victorian Rail Track,2016,qtr 4 2016‑17,23000000,118000000,,Major periodic maintenance (non‑metro various),New,Transport,141000000
Victorian Rail Track,2016,qtr 4 2021‑22,27000000,1274000000,,High Capacity Metro Trains (metro various),Existing,Transport,1301000000
Victorian Rail Track,2016,qtr 2 2018‑19,27000000,268000000,,New E‑Class trams (metro various),Existing,Transport,295000000
Victorian Rail Track,2016,qtr 4 2018‑19,45000000,315000000,,Conventional signalling upgrade - Caulfield to Dandenong (metro various),Existing,Transport,360000000
Victorian Rail Track,2016,qtr 2 2017‑18,51000000,170000000,TEI represents the State Government's funding commitment. Additional funds to complete the project is being sought from the Commonwealth.,Murray Basin Rail Project (non‑metro various),Existing,Transport,220000000
Victorian Rail Track,2016,qtr 1 2018‑19,72000000,185000000,,New VLocity carriages for the regional network (non‑metro various),Existing,Transport,257000000
Victorian Rail Track,2016,qtr 4 2016‑17,103000000,12000000,,Bayside rail improvements (metro various),Existing,Transport,115000000
Victorian Rail Track,2016,qtr 2 2017‑18,231000000,20000000,,Regional rolling stock - new tranche (non‑metro various),Existing,Transport,251000000
Victorian Rail Track,2016,qtr 4 2025‑26,244000000,10656000000,The TEI includes funding announced as part of the 2015‑16 Budget Information Paper Getting On With It. This amount excludes financing costs.,Melbourne Metro Tunnel (metro various),Existing,Transport,10900000000
Victorian Rail Track,2016,qtr 4 2020‑21,249000000,572000000,"TEI incorporates all capital funding for metropolitan rail infrastructure renewals from 2014‑15 to 2020‑21. The TEI has increased, as this is a rolling program of works and the TEI varies from year to year.",Metropolitan rail infrastructure renewal program (metro various),Existing,Transport,822000000
Victorian Rail Track,2016,qtr 4 2016-17,556000000,30000000,,myki (new ticketing solution – technology and installation),Existing,Transport,586000000
Victorian Rail Track,2016,qtr 4 2017‑18,605000000,199000000,,Tram procurement and supporting infrastructure (metro various),Existing,Transport,804000000
Department of Education,2017,qtr 4 2017-18,243000000,10000000,TEI includes co-contribution from TAFE.,Trade training centres - government schools (statewide),Existing,Education and Training,253000000
"Department of Environment, Energy and Climate Action",2017,qtr 2 2053-54,30000000,304000000,,Melbourne strategic assessment (metropolitan various),Existing,Environment,334000000
Department of Health,2017,qtr 4 2020-21,0,163000000,,Northern Hospital inpatient expansion - Stage 2 (Epping),New,Health and human services,163000000
Department of Health,2017,qtr 4 2020-21,5000000,166000000,,Goulburn Valley Health redevelopment - planning and development (Shepparton),Existing,Health and human services,171000000
Department of Health,2017,qtr 4 2019-20,6000000,134000000,The TEI for this project has increased by $28.610 million to provide an additional 64 multi-day beds and includes a funding contribution of $5.000 million from Monash University for accommodation space.,Casey Hospital Expansion (Berwick),Existing,Health and human services,140000000
Department of Health,2017,qtr 4 2019-20,21000000,179000000,,Joan Kirner Women's and Children's Hospital (St. Albans),Existing,Health and human services,200000000
Department of Health,2017,qtr 1 2018-19,98000000,20000000,,Geelong Hospital - major upgrade (Geelong),Existing,Health and human services,118000000
Department of Health,2017,qtr 2 2018-19,103000000,98000000,,Royal Victorian Eye and Ear Hospital redevelopment (Melbourne),Existing,Health and human services,201000000
Department of Health,2017,qtr 4 2017-18,247000000,25000000,,Monash Children's Hospital (Clayton),Existing,Health and human services,272000000
"Department of Jobs, Skills, Industry and Regions",2017,qtr 4 2018-19,71000000,98000000,TEI reflects State capital construction component only.,Melbourne Exhibition Centre - stage 2 development (Southbank),New,"Culture, sport and community",169000000
Department of Justice and Community Safety,2017,various,0,391000000,The TEI includes $6.300 million of funding redirected from the Public Safety - Police Response initiative for the purchase of land for the Specialist Training Facility.,Community Safety Statement (statewide),New,Justice and emergency services,391000000
Department of Justice and Community Safety,2017,qtr 4 2020-21,1000000,288000000,,New youth justice facility (Werribee),New,Justice and emergency services,289000000
Department of Justice and Community Safety,2017,various,31000000,107000000,"TEI has reduced by $11.300 million due to: the transfer of $5.000 million from capital to output funding to correctly reflect the nature of expenditure for the Intelligence Capability component; and the redirection of $6.300 million funding for land purchase for the Specialist Training Facility to the Community Safety Statement package. The estimated completion dates for the major components are: Intelligence Capability (quarter 4, 2018-19), Mobile Technology (quarter 4, 2018-19), Specialist Equipment (quarter 2, 2017-18) and Body Worn Cameras (quarter 3, 2019-20).",Public Safety - Police Response (statewide),Existing,Justice and emergency services,138000000
Department of Justice and Community Safety,2017,qtr 4 2018-19,57000000,26000000,"The estimated completion date has been extended to quarter 4, 2018-19.",Corrections system expansion (statewide),Existing,Justice and emergency services,83000000
Department of Justice and Community Safety,2017,qtr 2 2017-18,237000000,20000000,,Increase Prison Capacity (statewide),Existing,Justice and emergency services,256000000
Department of Transport and Planning,2017,qtr 4 2019-20,0,114000000,,Plenty Road upgrade - Stage 2 (South Morang),Existing,Transport,114000000
Department of Transport and Planning,2017,qtr 4 2022-23,0,300000000,,Mordialloc Bypass (Braeside),New,Transport,300000000
Department of Transport and Planning,2017,qtr 3 2020-21,0,673000000,TEI includes $336.538 million of Commonwealth funding for the capital component of this initiative.,M80 Ring Road upgrade (north and west metropolitan region),New,Transport,673000000
Department of Transport and Planning,2017,qtr 2 2022-23,1942000000,4937000000,"Estimated total cost of the program to remove 50 level crossings across metropolitan Melbourne. TEI includes the cost of the 10 level crossings removed, which were previously listed separately under the initiative titled ‘Level crossing removal projects' in 2016-17 Budget Paper No. 4. TEI includes $151.000 million of Commonwealth funding for Main Road (St. Albans)",Level Crossing Removal Program (metropolitan various),Existing,Transport,6879000000
Department of Transport and Planning,2017,qtr 2 2019-20,3000000,75000000,The estimated completion date has been extended. TEI excludes corporate costs. TEI includes $25.800 million of Commonwealth funding.,O'Herns Road upgrade (Epping),Existing,Transport,78000000
Department of Transport and Planning,2017,qtr 4 2018-19,7000000,49000000,TEI excludes corporate costs.,Streamlining Hoddle Street (Richmond),Existing,Transport,56000000
Department of Transport and Planning,2017,qtr 4 2021-22,8000000,127000000,TEI includes $46.000 million of Commonwealth funding and excludes contribution from New South Wales.,Echuca-Moama bridge (Echuca),Existing,Transport,135000000
Department of Transport and Planning,2017,qtr 4 2019-20,9000000,93000000,TEI excludes corporate costs.,Drysdale bypass (Drysdale),Existing,Transport,102000000
Department of Transport and Planning,2017,qtr 4 2019-20,13000000,113000000,TEI excludes corporate costs.,Yan Yean Road duplication (Plenty),Existing,Transport,126000000
Department of Transport and Planning,2017,qtr 4 2020-21,15000000,251000000,Project name changed from Road Safety (statewide) published in the 2016-17 Budget.,Road Safety Towards Zero (statewide),Existing,Transport,266000000
Department of Transport and Planning,2017,qtr 2 2018-19,19000000,90000000,TEI excludes corporate costs.,"Chandler Highway upgrade (Alphington, Kew)",Existing,Transport,110000000
Department of Transport and Planning,2017,qtr 4 2026-27,20000000,80000000,,North East Link (from Greensborough),New,Transport,100000000
Department of Transport and Planning,2017,qtr 4 2018-19,29000000,119000000,TEI excludes corporate costs.,Thompsons Road duplication (Lyndhurst),Existing,Transport,148000000
Department of Transport and Planning,2017,qtr 4 2018-19,38000000,42000000,The estimated completion date has been extended. TEI excludes corporate costs. TEI includes additional funding of $1.210 million for new project approved within this program.,Optimising transport network performance - congestion package (statewide),Existing,Transport,81000000
Department of Transport and Planning,2017,qtr 2 2018-19,67000000,227000000,TEI excludes corporate costs. TEI includes $150.000 million of Commonwealth funding. Project name changed from M80 Upgrade Sunshine Avenue to Calder Freeway (Sunshine North) published in 2016-17 budget papers.,M80 Ring Road upgrade Sunshine Avenue to Calder Freeway (Sunshine North),Existing,Transport,294000000
Department of Transport and Planning,2017,qtr 4 2018-19,84000000,265000000,TEI excludes corporate costs. TEI includes $181.735 million of Commonwealth funding.,Princes Highway duplication project - Winchelsea to Colac (regional various),Existing,Transport,349000000
Department of Transport and Planning,2017,qtr 2 2018-19,126000000,157000000,TEI excludes corporate costs.,Monash Freeway upgrade - EastLink to Clyde Road (metropolitan various),New,Transport,283000000
Department of Transport and Planning,2017,qtr 4 2018-19,199000000,61000000,TEI includes $210.000 million of Commonwealth funding.,Princes Highway East - Traralgon to Sale duplication (regional various),Existing,Transport,259000000
Department of Transport and Planning,2017,2022,232000000,5268000000,Project name changed from Western Distributor (metropolitan various) published in the 2016-17 Budget.,West Gate Tunnel Project,Existing,Transport,5500000000
Department of Transport and Planning,2017,qtr 2 2022-23,283000000,428000000,Initiative is to be funded by the Transport Accident Commission. TEI has increased by $0.690 million. This is due to a reassessment of the estimated mix of projects between capital and output. The total program spend remains the same.,Road Safety Strategy 2013-22 (statewide),Existing,Transport,711000000
Department of Transport and Planning,2017,qtr 4 2017-18,287000000,210000000,The estimated completion date has been extended. TEI excludes corporate costs. TEI includes $200.000 million of Commonwealth funding and covers the total funding of the state delivered components of the project.,CityLink - Tulla widening project - CityLink Tunnel to Melbourne Airport (metropolitan various),Existing,Transport,496000000
Department of Transport and Planning,2017,qtr 2 2022-23,458000000,934000000,"These comprise a range of network improvements, such as station works, power and other infrastructure upgrades and future proofing works, that are being delivered jointly with the Level Crossing Removal Program.",Metropolitan Network Modernisation Program (metropolitan various),New,Transport,1392000000
Department of Transport and Planning,2017,qtr 3 2018-19,469000000,190000000,TEI excludes corporate costs. TEI includes $501.300 million of Commonwealth funding.,Western Highway duplication - Ballarat to Stawell (regional various),Existing,Transport,659000000
Director of Housing,2017,ongoing,5000000,180000000,The final budget and cashflow will be available following execution of a project development agreement with the private sector. This is anticipated to be executed by March 2018.,Public housing renewal program (statewide),New,Health and human services,185000000
Goulburn Murray Rural Water Corporation,2017,qtr 2 2020-21,776000000,239000000,,Connections project (regional various),Existing,Water,1015000000
Other PNFC,2017,qtr 4 2020-21,0,272000000,The TEI includes funding of $40.000 million from the Melbourne and Olympic Parks Trust.,Melbourne Park Redevelopment - Stage 3 (Melbourne),New,"Culture, sport and community",272000000
Other PNFC,2017,qtr 2 2019-20,170000000,169000000,,Melbourne Park redevelopment stage two (Melbourne),Existing,"Culture, sport and community",338000000
Port of Melbourne Corporation,2017,Discontinued,0,0,,Port capacity expansion project (Melbourne),Discontinued,Transport,0
Victorian Rail Track,2017,tbc,0,187000000,,Frankston Line stabling (Seaford),New,Transport,187000000
Victorian Rail Track,2017,qtr 3 2018-19,0,215000000,,More E-Class trams and infrastructure (metropolitan various),New,Transport,215000000
Victorian Rail Track,2017,qtr 4 2020-21,0,288000000,,Major periodic maintenance on the regional rail network (regional various),New,Transport,288000000
