name,theme,entity,type,investment,lga,feature_type,Geographic Latitude,Geographic Longitude,description
Emu Creek Homestead residential facility bridge and accommodation upgrades,Justice,Department of Justice and Community Safety,Prisoner Supervision and Support,$6.7 million,Pyrenees (S),Point,-37.406427,143.488755,Funding is provided to support the operations of cultural agencies through closure and reopening while continuing to support their workforce.
Enabling economic recovery and development through Traditional Owners' Corporations,Regional Investment,Whole of Government,Aboriginal Affairs,$20 million*,Greater Bendigo (C),Point,-36.756999,144.27938,"Funding is provided to upgrade facilities and establish the Danny Frawley Centre for Health and Wellbeing at Moorabbin Reserve, and to develop a range of mental health services and education programs at the site."
Engaging students in learning and the world of work,Education,Department of Education,School Education,$6.9 million*,Knox (C),Point,-37.873181,145.235303,Funding is provided to replace the access bridge and office accommodation of the Emu Creek Homestead residential facility to ensure all-weather access and improve rehabilitation facilities.
Engaging students in learning and the world of work,Education,Department of Education,School Education,$6.9 million*,Greater Geelong (C),Point,-38.149818,144.361724,Funding will enhance the ability of Traditional Owners’ Corporations across Victoria when discharging their role in development approvals.
Engaging students in learning and the world of work,Education,Department of Education,School Education,$6.9 million*,Hume (C),Point,-37.676985,144.918158,"Funding is provided to continue a range of programs which support students, including those at risk of disengagement, to understand and participate in school, training and employment pathways."
Ensuring the continued safety and operations of the Lake Tyers and Framlingham Aboriginal Trusts,Environment and Parkland,Whole of Government,Aboriginal Affairs,$12.7 million*,East Gippsland (S),Point,-37.78619,148.081076,"Funding is provided to continue a range of programs which support students, including those at risk of disengagement, to understand and participate in school, training and employment pathways."
Ensuring the continued safety and operations of the Lake Tyers and Framlingham Aboriginal Trusts,Environment and Parkland,Whole of Government,Aboriginal Affairs,$12.7 million*,Moyne (S),Point,-38.255771,142.684327,"Funding is provided to continue a range of programs which support students, including those at risk of disengagement, to understand and participate in school, training and employment pathways."
"Essendon Football Club Community, Education and Events Centre",Sports and Recreation,"Department of Jobs, Precincts and Regions","Sport, Community Sport, Recreation and Racing",$6.3 million,Hume (C),Point,-37.691146,144.869296,Funding is provided to support the continued safety and operations of the Lake Tyers and Framlingham Aboriginal Trusts. 
Expanding suicide prevention and follow-up care,Health,Department of Health and Human Services,Mental Health,$21 million*,Whitehorse (C),Point,-37.818065,145.123776,Funding is provided to support the continued safety and operations of the Lake Tyers and Framlingham Aboriginal Trusts. 
Expanding suicide prevention and follow-up care,Health,Department of Health and Human Services,Mental Health,$21 million*,Melbourne (C),Point,-37.798892,144.956167,"Funding is provided for the Essendon Football Club’s Community, Education and Events Centre at The Hangar."
Expanding suicide prevention and follow-up care,Health,Department of Health and Human Services,Mental Health,$21 million*,Monash (C),Point,-37.920707,145.123606,Funding is provided to expand suicide prevention and follow-up care for adults and to support a new child and youth program.
Expanding suicide prevention and follow-up care,Health,Department of Health and Human Services,Mental Health,$21 million*,Banyule (C),Point,-37.752729,145.070369,Funding is provided to expand suicide prevention and follow-up care for adults and to support a new child and youth program.
Expanding suicide prevention and follow-up care,Health,Department of Health and Human Services,Mental Health,$21 million*,Hume (C),Point,-37.686204,144.926483,Funding is provided to expand suicide prevention and follow-up care for adults and to support a new child and youth program.
Expanding suicide prevention and follow-up care,Health,Department of Health and Human Services,Mental Health,$21 million*,Warrnambool (C),Point,-38.368532,142.498139,Funding is provided to expand suicide prevention and follow-up care for adults and to support a new child and youth program.
Expanding suicide prevention and follow-up care,Health,Department of Health and Human Services,Mental Health,$21 million*,Mildura (RC),Point,-34.208166,142.125019,Funding is provided to expand suicide prevention and follow-up care for adults and to support a new child and youth program.
Expanding suicide prevention and follow-up care,Health,Department of Health and Human Services,Mental Health,$21 million*,Wodonga (C),Point,-36.124119,146.881843,Funding is provided to expand suicide prevention and follow-up care for adults and to support a new child and youth program.
Expanding suicide prevention and follow-up care,Health,Department of Health and Human Services,Mental Health,$21 million*,Ballarat (C),Point,-37.562178,143.850231,Funding is provided to expand suicide prevention and follow-up care for adults and to support a new child and youth program.
Expanding Werribee Open Range Zoo,Environment and Parkland,"Department of Environment, Land, Water and Planning",Management of Public Land and Forests,$84 million,Wyndham (C),Point,-37.922607,144.667359,Funding is provided to expand suicide prevention and follow-up care for adults and to support a new child and youth program.
First stage of the new Melton Hospital,Health,Department of Health and Human Services,Acute Health Services,$75 million,Melton (C),Point,-37.706356,144.601903,Funding is provided to expand suicide prevention and follow-up care for adults and to support a new child and youth program.
Fitzroy Gasworks,Roads,Department of Transport,Transport Infrastructure,$4.4 million,Yarra (C),Point,-37.792061,144.983549,The Werribee Open Range Zoo will be expanded to accommodate higher visitor numbers with additional visitor amenities and experiences. 
Gender Equality Programs,Strong Communities,Department of Premier and Cabinet,Women's Policy,$17 million,Melbourne (C),Point,-37.81096,144.965901,Funding is provided to purchase land and undertake detailed capital planning and early works for a new Melton Hospital.
Great Ocean Road renewal,Roads,Department of Transport,Road Network Performance,$255 million,Colac Otway (S),Point,-38.766067,143.667183,Funding is provided for enabling works at the new Fitzroy Secondary College to ensure the safety of road users and pedestrians.
Guaranteeing future energy supply,Health,Department of Health and Human Services,Acute Health Services,$160 million*,Melbourne (C),Point,-37.84562,144.981909,"Funding is provided to continue to promote gender equality in Victoria through advancing implementation of Victoria’s Gender Equality Strategy, Safe and Strong."
Guaranteeing future energy supply,Health,Department of Health and Human Services,Acute Health Services,$160 million*,Melbourne (C),Point,-37.798892,144.956167,Victoria’s iconic Great Ocean Road and surrounding inland routes will benefit from a five-year program of major upgrades. 
Guaranteeing future energy supply,Health,Department of Health and Human Services,Acute Health Services,$160 million*,Greater Geelong (C),Point,-38.152092,144.36532,"Funding is provided to ensure cogeneration plant can continue to provide reliable energy supply at The Alfred, Royal Melbourne Hospital and University Hospital Geelong and ensure Victorian hospitals have sufficient capacity and reliable backup energy supply."
Henty Highway upgrade,Roads,Department of Transport,Road Network Performance,$4 million,Yarriambiack (S),Point,-36.179857,142.399022,"Funding is provided to ensure cogeneration plant can continue to provide reliable energy supply at The Alfred, Royal Melbourne Hospital and University Hospital Geelong and ensure Victorian hospitals have sufficient capacity and reliable backup energy supply."
Improving Gippsland tourism,Environment and Parkland,"Department of Environment, Land, Water and Planning",Regional and Rural Victoria,$6.7 million*,East Gippsland (S),Point,-37.559465,149.758514,"Funding is provided to ensure cogeneration plant can continue to provide reliable energy supply at The Alfred, Royal Melbourne Hospital and University Hospital Geelong and ensure Victorian hospitals have sufficient capacity and reliable backup energy supply."
Improving Gippsland tourism,Environment and Parkland,"Department of Environment, Land, Water and Planning",Regional and Rural Victoria,$6.7 million*,East Gippsland (S),Point,-37.801852,149.275621,Funding is provided under the Heavy Vehicle Safety and Productivity Program for safety improvements on the Henty Highway between Horsham and Lascelles.
Kardinia Park Stadium Stage 5 Redevelopment,Sports and Recreation,"Department of Jobs, Precincts and Regions","Sport, Community Sport, Recreation and Racing",$142 million,Greater Geelong (C),Point,-38.157934,144.354581,"Funding is provided to upgrade the access and visitor facilities at the Mallacoota Inlet and at the Point Hicks Lighthouse, advancing tourism in the area."
Maryborough Hospital expansion,Health,Department of Health and Human Services,Acute Health Services,$5.2 million,Central Goldfields (S),Point,-37.045003,143.736959,"Funding is provided to upgrade the access and visitor facilities at the Mallacoota Inlet and at the Point Hicks Lighthouse, advancing tourism in the area."
Melbourne Arts Precinct Transformation (Arts Centre Melbourne),Arts,"Department of Jobs, Precincts and Regions",Creative Industries,$1.4 billion*,Melbourne (C),Point,-37.820141,144.968083,Funding is provided for the fifth and final stage of the Kardinia Park Stadium Redevelopment.
Melbourne Arts Precinct Transformation (National Gallery of Victoria),Arts,"Department of Jobs, Precincts and Regions",Creative Industries,$1.4 billion*,Melbourne (C),Point,-37.822594,144.968941,Funding is provided for planning for the future expansion of Maryborough Hospital and to purchase land for the redevelopment.
Metropolitan road and intersection upgrades,Roads,Department of Transport,Road Network Performance,$117 million*,Moonee Valley (C),Point,-37.788165,144.929484,Funding is provided for Phase One of the transformation of the Melbourne Arts Precinct.
Metropolitan road and intersection upgrades,Roads,Department of Transport,Road Network Performance,$117 million*,Cardinia (S),Point,-38.074632,145.435104,Funding is provided for Phase One of the transformation of the Melbourne Arts Precinct.
Metropolitan road and intersection upgrades,Roads,Department of Transport,Road Network Performance,$117 million*,Hume (C),Point,-37.626184,144.88307,Metropolitan roads and intersections will be upgraded to improve road safety and travel times.
Metropolitan road and intersection upgrades,Roads,Department of Transport,Road Network Performance,$117 million*,Greater Dandenong (C),Point,-38.017496,145.234096,Metropolitan roads and intersections will be upgraded to improve road safety and travel times.
Metropolitan road and intersection upgrades,Roads,Department of Transport,Road Network Performance,$117 million*,Knox (C),Point,-37.844124,145.300071,Metropolitan roads and intersections will be upgraded to improve road safety and travel times.
Metropolitan road and intersection upgrades,Roads,Department of Transport,Road Network Performance,$117 million*,Banyule (C),Point,-37.689259,145.142684,Metropolitan roads and intersections will be upgraded to improve road safety and travel times.
Metropolitan road and intersection upgrades,Roads,Department of Transport,Road Network Performance,$117 million*,Brimbank (C),Point,-37.701761,144.801898,Metropolitan roads and intersections will be upgraded to improve road safety and travel times.
Modernisation of metropolitan Melbourne Public Sector Residential Aged Care Services Strategy: Stage 3 Kingston Project,Health,Department of Health and Human Services,"Ageing, Aged and Home Care",$135 million,Kingston (C),Point,-37.955251,145.078699,Metropolitan roads and intersections will be upgraded to improve road safety and travel times.
Modernisation of metropolitan Melbourne Public Sector Residential Aged Care Services Strategy: Stage 4 Coburg Project,Health,Department of Health and Human Services,"Ageing, Aged and Home Care",$0.9 million,Moreland (C),Point,-37.738707,144.973366,Metropolitan roads and intersections will be upgraded to improve road safety and travel times.
New Wyndham Law Court,Justice,Court Services Victoria,Courts,$272 million,Wyndham (C),Point,-37.893681,144.682574,"Funding is provided for a new two storey 150-bed public sector residential aged care facility at the Monash Health Kingston Campus, Cheltenham."
North Melbourne Football Club Redevelopment (Stage 2),Sports and Recreation,"Department of Jobs, Precincts and Regions","Sport, Community Sport, Recreation and Racing",$7.3 million,Melbourne (C),Point,-37.799701,144.940939,Funding is provided to design and plan a new three storey 90-bed public sector residential aged care services facility at Grasslands Avenue in Coburg.
Princes Highway East Duplication Stage 3,Roads,Department of Transport,Road Network Performance,$241 million,Wellington (S),LGA,,,Funding is provided for a new western metropolitan headquarter court that will meet the long-term demand for justice services in Wyndham and the surrounding growth corridor.
Princes Highway East Duplication Stage 3,Roads,Department of Transport,Road Network Performance,$241 million*,Latrobe (C),LGA,,,Funding is provided for upgrades to the North Melbourne Football Club’s Australian Football League Women’s match day and community facilities at Arden Street.
Princes Pier: Protecting community safety at one of Victoria’s iconic cultural heritage assets,Strong Communities,"Department of Jobs, Precincts and Regions",Business Precincts,$3.1 million,Port Phillip (C),Point,-37.840995,144.926973,The duplication of the Princes Highway East between Traralgon to Sale will be completed to improve travel efficiency and safety.
Protecting heritage at Jacksons Hill,Strong Communities,"Department of Environment, Land, Water and Planning","Planning, Building and Heritage",$4.4 million,Hume (C),Point,-37.594775,144.729645,The duplication of the Princes Highway East between Traralgon to Sale will be completed to improve travel efficiency and safety.
Protecting Victoria's experience economy (Arts Centre Melbourne),Arts,"Department of Jobs, Precincts and Regions",Creative Industries,$143 million*,Melbourne (C),Point,-37.820149,144.968105,Funding is provided to repair and strengthen the Princes Pier to ensure that the pier is operational and accessible to all users.
Protecting Victoria's experience economy (Melbourne Recital Centre),Arts,"Department of Jobs, Precincts and Regions",Creative Industries,$143 million*,Melbourne (C),Point,-37.823882,144.967596,Funding is provided to maintain the land and buildings acquired from Victoria University.
Protecting Victoria's experience economy (National Gallery of Victoria),Arts,"Department of Jobs, Precincts and Regions",Creative Industries,$143 million*,Melbourne (C),Point,-37.822594,144.968941,"Funding is provided for a range of supports across Victoria’s creative and broader experience economy, as a result of the coronavirus (COVID-19) pandemic."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,Alpine (S),LGA,,,"Funding is provided for a range of supports across Victoria’s creative and broader experience economy, as a result of the coronavirus (COVID-19) pandemic."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,Ararat (RC),LGA,,,"Funding is provided for a range of supports across Victoria’s creative and broader experience economy, as a result of the coronavirus (COVID-19) pandemic."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,Campaspe (S),LGA,,,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,Central Goldfields (S),LGA,,,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,Colac Otway (S),LGA,,,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,Corangamite (S),LGA,,,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,East Gippsland (S),LGA,,,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,Glenelg (S),LGA,,,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,Hepburn (S),LGA,,,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
Ready for school: Kinder for every three-year-old,Education,Department of Education,Early Childhood Development,$302 million*,Indigo (S),LGA,,,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
