unique_id,name,theme,entity,type,investment,lga,feature_type,lat,long,description
S_0013,Land acquisition for new schools,Education,Department of Education and Training,Land acquisition,$236.7 million*,Melton (C),LGA,,,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
S_0014,Land acquisition for new schools,Education,Department of Education and Training,Land acquisition,$236.7 million*,Casey (C),LGA,,,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
S_0015,Aintree Secondary School (Interim Name),Education,Department of Education and Training,New schools construction,$581 million*,Melton (C),LGA,,,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
S_0016,Aintree Specialist School (Interim Name),Education,Department of Education and Training,New schools construction,$581 million*,Melton (C),LGA,,,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
S_0017,Alexander Boulevard Primary School (Interim Name),Education,Department of Education and Training,New schools construction,$581 million*,Casey (C),LGA,,,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
S_0018,Black Forest East Primary School (Interim Name),Education,Department of Education and Training,New schools construction,$581 million*,Wyndham (C),LGA,,,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
S_0019,Brookfield Primary School (Interim Name),Education,Department of Education and Training,New schools construction,$581 million*,Melton (C),LGA,,,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
S_0020,Lockerbie Central Primary School (Interim Name),Education,Department of Education and Training,New schools construction,$581 million*,Hume (C),LGA,,,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
S_0021,Lollypop Creek Secondary School (Interim Name),Education,Department of Education and Training,New schools construction,$581 million*,Wyndham (C),LGA,,,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
S_0022,Lollypop Creek Specialist School (Interim Name),Education,Department of Education and Training,New schools construction,$581 million*,Wyndham (C),LGA,,,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
S_0023,Merrifield South Primary School (Interim Name),Education,Department of Education and Training,New schools construction,$581 million*,Hume (C),LGA,,,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
S_0024,Officer Brunt Road Primary School (Interim Name),Education,Department of Education and Training,New schools construction,$581 million*,Cardinia (S),LGA,,,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
S_0025,Riverdale Secondary School (Interim Name),Education,Department of Education and Training,New schools construction,$581 million*,Wyndham (C),LGA,,,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
S_0026,Tarneit North Primary School (Interim Name),Education,Department of Education and Training,New schools construction,$581 million*,Wyndham (C),LGA,,,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
S_0027,Truganina North Primary School (Interim Name),Education,Department of Education and Training,New schools construction,$581 million*,Wyndham (C),LGA,,,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
S_0028,Truganina North Secondary School (Interim Name),Education,Department of Education and Training,New schools construction,$41.2 million,Wyndham (C),LGA,,,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
S_0029,Gaayip-Yagila Primary School,Education,Department of Education and Training,New schools construction,$11.2 million,Hume (C),Point,-37.528608,144.909089,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
S_0030,Aitken Hill Primary School,Education,Department of Education and Training,New schools construction,$11.2 million,Hume (C),Point,-37.601714,144.905558,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
S_0031,Aintree Primary School,Education,Department of Education and Training,New schools construction,$11.2 million,Melton (C),Point,-37.723801,144.666228,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
S_0032,Staughton College,Education,Department of Education and Training,School upgrades: growth for 2025,$31.8 million,Melton (C),Point,-37.708365,144.568689,Funding is provided to expand capacity to meet enrolment demand at two established area schools. The expanded capacity will be ready for the 2025 school year.
S_0033,Kambrya College,Education,Department of Education and Training,School upgrades: growth for 2025,$18.9 million,Casey (C),Point,-38.05368819,145.34741,Funding is provided to expand capacity to meet enrolment demand at two established area schools. The expanded capacity will be ready for the 2025 school year.
S_0034,Banyan Fields Primary School,Education,Department of Education and Training,School upgrades,$2.1 million,Frankston (C),Point,-38.094598,145.187909,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0035,Benalla P-12 College,Education,Department of Education and Training,School upgrades,$14.3 million,Benalla (RC),Point,-36.553372,145.963847,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0036,Bentleigh Secondary College,Education,Department of Education and Training,School upgrades,$12.7 million,Glen Eira (C),Point,-37.927357,145.059798,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0037,Bittern Primary School,Education,Department of Education and Training,School upgrades,$3 million,Mornington Peninsula (S),Point,-38.339857,145.171678,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0038,Bundoora Secondary College,Education,Department of Education and Training,School upgrades,$10 million,Banyule (C),Point,-37.707501,145.061977,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0039,Coldstream Primary School,Education,Department of Education and Training,School upgrades,$2.5 million,Yarra Ranges (S),Point,-37.73255846,145.3827071,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0040,Darley Primary School,Education,Department of Education and Training,School upgrades,$10.7 million,Moorabool (S),Point,-37.65528318,144.4369086,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0041,Diggers Rest Primary School,Education,Department of Education and Training,School upgrades,$13.4 million,Melton (C),Point,-37.622632,144.709232,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0042,Doreen Primary School,Education,Department of Education and Training,School upgrades,$5.4 million,Nillumbik (S),Point,-37.60601,145.145539,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0043,East Loddon P-12 College,Education,Department of Education and Training,School upgrades,$12.8 million,Loddon (S),Point,-36.372222,144.141446,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0044,Grasmere Primary School,Education,Department of Education and Training,School upgrades,$2.6 million,Moyne (S),Point,-38.285986,142.522877,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0045,Hawthorn West Primary School,Education,Department of Education and Training,School upgrades,$5.7 million,Boroondara (C),Point,-37.820112,145.018377,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0046,Kingston Heath Primary School,Education,Department of Education and Training,School upgrades,$6 million,Kingston (C),Point,-37.962778,145.07907,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0047,Laburnum Primary School,Education,Department of Education and Training,School upgrades,$8.8 million,Whitehorse (C),Point,-37.827098,145.139208,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0048,Merri Creek Primary School,Education,Department of Education and Training,School upgrades,$5.4 million,Yarra (C),Point,-37.776966,144.987386,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0049,Moonee Ponds West Primary School,Education,Department of Education and Training,School upgrades,$7.6 million,Moonee Valley (C),Point,-37.768947,144.909334,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0050,Mordialloc Beach Primary School,Education,Department of Education and Training,School upgrades,$2.9 million,Kingston (C),Point,-38.005582,145.088809,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0051,Mount Pleasant Road Nunawading Primary School,Education,Department of Education and Training,School upgrades,$10 million,Whitehorse (C),Point,-37.828587,145.180091,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0052,Mount Rowan Secondary College,Education,Department of Education and Training,School upgrades,$6.1 million,Ballarat (C),Point,-37.51922,143.834472,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0053,Pascoe Vale Primary School,Education,Department of Education and Training,School upgrades,$7.8 million,Moreland (C),Point,-37.731225,144.937255,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0054,Reservoir High School,Education,Department of Education and Training,School upgrades,$9 million,Darebin (C),Point,-37.722259,145.029772,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0055,Sandringham East Primary School,Education,Department of Education and Training,School upgrades,$3.8 million,Bayside (C),Point,-37.956668,145.022221,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0056,St Albans Heights Primary School,Education,Department of Education and Training,School upgrades,$13.4 million,Brimbank (C),Point,-37.748654,144.810368,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0057,The Patch Primary School,Education,Department of Education and Training,School upgrades,$6.5 million,Yarra Ranges (S),Point,-37.892418,145.392841,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0058,Wantirna College,Education,Department of Education and Training,School upgrades,$11.2 million,Knox (C),Point,-37.857598,145.229974,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0059,Wedderburn College,Education,Department of Education and Training,School upgrades,$12.9 million,Loddon (S),Point,-36.417022,143.61877,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0060,Westgarth Primary School,Education,Department of Education and Training,School upgrades,$13 million,Darebin (C),Point,-37.776471,145.005561,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0061,Yarra Primary School,Education,Department of Education and Training,School upgrades,$7.2 million,Yarra (C),Point,-37.814639,145.007482,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0062,Yinnar Primary School,Education,Department of Education and Training,School upgrades,$7.3 million,Latrobe (C),Point,-38.321087,146.328907,Twenty-nine mainstream schools across Victoria will receive funding for capital upgrades.
S_0063,Ashwood School,Education,Department of Education and Training,Special school upgrades, $9.7 million,Monash (C),Point,-37.859665,145.107162,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0064,Aurora School,Education,Department of Education and Training,Special school upgrades,$1.8 million,Whitehorse (C),Point,-37.84017872,145.1507912,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0065,Bass Coast Specialist School,Education,Department of Education and Training,Special school upgrades,$1.9 million,Bass Coast (S),Point,-38.60974434,145.5964659,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0066,Belvoir Wodonga Special Developmental School,Education,Department of Education and Training,Special school upgrades,$4 million,Wodonga (C),Point,-36.123209,146.854535,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0067,Bendigo Special Developmental School,Education,Department of Education and Training,Special school upgrades,$8.9 million,Greater Bendigo (C),Point,-36.795866,144.240152,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0068,Berendale School and Katandra Schools (merger),Education,Department of Education and Training,Special school upgrades,$12.2 million,Bayside (C),Point,-37.938959,145.031808,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0069,Broadmeadows Special Developmental School,Education,Department of Education and Training,Special school upgrades,$17.1 million,Hume (C),Point,-37.68164744,144.914104,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0070,Burwood East Special Developmental School,Education,Department of Education and Training,Special school upgrades,$8.7 million,Whitehorse (C),Point,-37.857201,145.142122,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0071,Cobram and District Specialist School,Education,Department of Education and Training,Special school upgrades,At least $3.9 million,Moira (S),Point,-35.925817,145.651577,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0072,Croydon Special Developmental School,Education,Department of Education and Training,Special school upgrades,At least $11.7 million,Maroondah (C),Point,-37.815627,145.280781,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0073,Dandenong Valley Special Developmental School,Education,Department of Education and Training,Special school upgrades,At least $14.8 million,Casey (C),Point,-38.00759964,145.2959991,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0074,East Gippsland Specialist School,Education,Department of Education and Training,Special school upgrades,At least $6.8 million,East Gippsland (S),Point,-37.828711,147.598997,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0075,Eastern Ranges School,Education,Department of Education and Training,Special school upgrades,At least $5.7 million,Knox (C),Point,-37.88042006,145.2849193,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0076,Glenroy Specialist School,Education,Department of Education and Training,Special school upgrades,At least $1.9 million,Moreland (C),Point,-37.69935785,144.9205292,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0077,Hamlyn Views School,Education,Department of Education and Training,Special school upgrades,At least $1.3 million,Greater Geelong (C),Point,-38.125275,144.332374,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0078,Hampden Specialist School,Education,Department of Education and Training,Special school upgrades,At least $4.3 million,Corangamite (S),Point,-38.323556,143.064656,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0079,Hume Valley School,Education,Department of Education and Training,Special school upgrades,At least $8.5 million,Hume (C),Point,-37.672396,144.927013,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0080,Jennings Street School,Education,Department of Education and Training,Special school upgrades,At least $9.4 million,Hobsons Bay (C),Point,-37.85635,144.773634,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0081,Merriang Special Development School,Education,Department of Education and Training,Special school upgrades,At least $5.3 million,Whittlesea (C),Point,-37.66723751,145.0150833,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0082,Mildura Specialist School,Education,Department of Education and Training,Special school upgrades,At least $12.7 million,Mildura (RC),Point,-34.199885,142.143641,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0083,Montague Continuing Education Centre,Education,Department of Education and Training,Special school upgrades,At least $2.7 million,Port Phillip (C),Point,-37.830602,144.949738,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0084,Mornington Special Developmental School,Education,Department of Education and Training,Special school upgrades,At least $6.8 million,Mornington Peninsula (S),Point,-38.22610733,145.0571838,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0085,Naranga School,Education,Department of Education and Training,Special school upgrades,At least $7.6 million,Frankston (C),Point,-38.147158,145.163005,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0086,Nelson Park School,Education,Department of Education and Training,Special school upgrades,At least $6.4 million,Greater Geelong (C),Point,-38.114241,144.337703,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0087,Northern School for Autism,Education,Department of Education and Training,Special school upgrades,At least $26.3 million,Darebin (C),Point,-37.70058524,145.0299342,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0088,Officer Specialist School,Education,Department of Education and Training,Special school upgrades,At least $3.7 million,Cardinia (S),Point,-38.07078882,145.4113067,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0089,Peninsula Specialist College,Education,Department of Education and Training,Special school upgrades,At least $9.5 million,Mornington Peninsula (S),Point,-38.341841,145.010108,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0090,Skene Street School Stawell,Education,Department of Education and Training,Special school upgrades,At least $2.1 million,Northern Grampians (S),Point,-37.057672,142.78383,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0091,South Gippsland Specialist School,Education,Department of Education and Training,Special school upgrades,At least $3.7 million,South Gippsland (S),Point,-38.47819065,145.9572894,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0092,Springvale Park Special Developmental School,Education,Department of Education and Training,Special school upgrades,At least $8.9 million,Greater Dandenong (C),Point,-37.94935521,145.1543122,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0093,Swan Hill Specialist School,Education,Department of Education and Training,Special school upgrades,At least $6.3 million,Swan Hill (RC),Point,-35.349243,143.54509,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0094,Verney Road School,Education,Department of Education and Training,Special school upgrades,At least $23.8 million,Greater Shepparton (C),Point,-36.367444,145.415292,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0095,Waratah Special Developmental School,Education,Department of Education and Training,Special school upgrades,At least $6.8 million,Banyule (C),Point,-37.756289,145.040741,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0096,Warragul & District Specialist School,Education,Department of Education and Training,Special school upgrades,At least $6.6 million,Baw Baw (S),Point,-38.164894,145.925061,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0097,Warringa Park School - Warringa Crescent & Bethany Road Campuses,Education,Department of Education and Training,Special school upgrades,At least $14.7 million,Wyndham (C),Point,-37.884042,144.687587,Thirty-six special schools across Victoria will receive funding for capital upgrades.
S_0098,Western Autistic School,Education,Department of Education and Training,Special school upgrades,At least $6.8 million,Hobsons Bay (C),Point,-37.85078167,144.7780691,Thirty-six special schools across Victoria will receive funding for capital upgrades.
SW_001,"$4.2 billion to support our ongoing pandemic response, including $522 million to support our hospitals to treat COVID-19; $1.1 billion to purchase and distribute free rapid antigen tests to schools, hospitals and Victorians with disability; $284 million for PPE; $258 million to protect and vaccinate Victorians against COVID-19; and $110 million for COVID-19 care pathways and to continue our 28 general practitioner respiratory clinics",Health,Department of Health,Health Protection,$4.2 billion,,Statewide,,,
SW_002,"$1.8 billion for school infrastructure, including upgrades to 65 schools including 36 special schools, building 13 new schools, additional stages at four more schools, and expanding capacity at two schools to meet enrolment demand",Education,Department of Education and Training,School Education,$1.8 billion,,Statewide,,,
SW_028,$1.5 billion for COVID Catch-up to enable record levels of surgical capacity,Health,Department of Health,Admitted Services,$1.5 billion,,Statewide,,,
SW_003,$1 billion in low-interest loans and government guarantees for social and affordable housing,Public Housing,Department of Treasury and Finance,Economic and Policy Advice,$1 billion,,Statewide,,,
SW_004,$780 million in 2022/23 to undertake road maintenance works across the metropolitan and regional road network,Roads,Department of Transport,Road Asset Management,$780 million,,Statewide,,,
SW_005,$698 million for Better at Home,Health,Department of Health,Admitted Services,$698 million,,Statewide,,,
SW_006,"$383 million to switch on the Big Build, prepare for Metro Tunnel operations, and provide train timetable service upgrades across the state",Public Transport,Department of Transport,Train Services,$383 million,,Statewide,,,
SW_007,$372 million for our mental health workforce,Mental Health,Department of Health,Mental Health Clinical Care,$372 million,,Statewide,,,
SW_008,$342 million to recruit an extra 502 police and 50 Protective Services Officers over the next two years,Emergency Services,Department of Justice and Community Safety,Policing and Community Safety,$342 million,,Statewide,,,
SW_009,$300 million for the Regional Health Infrastructure Fund to boost regional healthcare,Health,Department of Health,Admitted Services,$300 million,,Statewide,,,
SW_010,"$265 million to build and upgrade trains and trams, including 12 new VLocity trains, built and maintained in Victoria, for the regional rail network",Public Transport,Department of Transport,Train Services,$265 million,,Statewide,,,
SW_011,$263 million to continue to deliver Victoria’s 2021-2030 Road Safety Strategy and first three-year action plan,Roads,Department of Transport,Road Operations,$263 million,,Statewide,,,
SW_012,$250 million for the Power Saving Bonus to help households save on their energy bills,Strong Communities,"Department of Environment, Land, Water and Planning",Energy,$250 million,,Statewide,,,
SW_013,"$248 million to deliver a package of V/Line improvement projects to support regional passenger rail operations, and for maintenance works on freight rail corridors across the state",Public Transport,Department of Transport,Train Services,$248 million,,Statewide,,,
SW_014,$246 million to help our creative industries bounce back even stronger than before,Arts,"Department of Jobs, Precincts and Regions",Creative Industries Portfolio Agencies,$246 million,,Statewide,,,
SW_015,"$246 million to fund the Sick Pay Guarantee pilot, to support casual or insecure workers in select industries that don’t provide sick or carer’s pay",Strong Communities,"Department of Jobs, Precincts and Regions",Jobs,$246 million,,Statewide,,,
SW_016,$215 million to give frontline police officers and protective services officers equipment to keep Victorians safe,Emergency Services,Department of Justice and Community Safety,Policing and Community Safety,$215 million,,Statewide,,,
SW_017,$158 million for accessibility and safety upgrades at various train stations and tram stops,Public Transport,Department of Transport,Transport Infrastructure,$158 million,,Statewide,,,
SW_018,$151 million to prepare for Victoria's nation-leading treaty process,Strong Communities,Department of Premier and Cabinet,"Aboriginal policy, strengthening Aboriginal cultural heritage and communities",$151 million,,Statewide,,,
SW_019,$146 million to build three new public residential aged care facilities in regional areas and plan for two more,Regional Investment,Department of Health,Residential Aged Care,$146 million,,Statewide,,,
SW_020,$135 million to provide vital support to Victorians with disability who aren’t eligible for the NDIS,Strong Communities,"Department of Families, Fairness and Housing",Disability Services,$135 million,,Statewide,,,
SW_021,"$131 million to continue four-year-old kindergarten services, including important support for rural and small services and continued help for disadvantaged children to access kindergarten",Education,Department of Education and Training,Early Childhood Education,$131 million,,Statewide,,,
SW_022,"$131 million for extra literacy and numeracy support for students who need it most, including tailored support for students in middle years",Education,Department of Education and Training,School Education,$131 million,,Statewide,,,
SW_023,$126 million in road upgrades in metropolitan Melbourne,Roads,Department of Transport,Road Operations,$126 million,,Statewide,,,
SW_024,$124 million to put more paramedics on the road and improve ambulance performance,Emergency Services,Department of Health,Ambulance Emergency Services,$124 million,,Statewide,,,
SW_025,"$111 million to support Victoria’s visitor and events economy, to attract more tourists and promote Victoria to the world",Sports and Recreation,"Department of Jobs, Precincts and Regions",Tourism and Major Events,$111 million,,Statewide,,,
SW_026,$109 million to improve Victoria’s suburban and regional bus services and bus stops,Public Transport,Department of Transport,Bus Services,$109 million,,Statewide,,,
SW_027,"$101 million for regional road upgrades, including intersection upgrades, new overtaking lanes and roundabouts on key regional roads and highways across the state",Roads,Department of Transport,Road Operations,$101 million,,Statewide,,,
I_0017,"Engaging students in learning – The Geelong Project, Northern Centre for Excellence in School Engagement and Project REAL",Education,Department of Education,School Education,$4.5 million*,Greater Geelong (C),Point,-38.149818,144.361724,Funding is provided to continue programs to engage students in learning in the Barwon South West region and the Hume Moreland area.
I_0018,"Engaging students in learning – The Geelong Project, Northern Centre for Excellence in School Engagement and Project REAL",Education,Department of Education,School Education,$4.5 million*,Hume (C),Point,-37.5812,144.714019,Funding is provided to continue programs to engage students in learning in the Barwon South West region and the Hume Moreland area.
I_0019,"Engaging students in learning – The Geelong Project, Northern Centre for Excellence in School Engagement and Project REAL",Education,Department of Education,School Education,$4.5 million*,Moreland (C),Point,-37.741315,144.966265,Funding is provided to continue programs to engage students in learning in the Barwon South West region and the Hume Moreland area.
I_0048,Implementation of the Central and Gippsland Region Sustainable Water Strategy,Environment and Parkland,"Department of Environment, Land, Water and Planning",Effective Water Management and Supply,$57 million*,Wyndham (C),Point,-37.89975,144.66354,"This initiative will begin implementation of the Sustainable Water Strategy for the Central and Gippsland region, in partnership with Traditional Owners."
I_0486,Implementation of the Central and Gippsland Region Sustainable Water Strategy,Environment and Parkland,"Department of Environment, Land, Water and Planning",Effective Water Management and Supply,$57 million*,Latrobe (C),Point,-38.37826,146.27436,"This initiative will begin implementation of the Sustainable Water Strategy for the Central and Gippsland region, in partnership with Traditional Owners."
I_0487,Implementation of the Central and Gippsland Region Sustainable Water Strategy,Environment and Parkland,"Department of Environment, Land, Water and Planning",Effective Water Management and Supply,$57 million*,Wellington (S),Point,-37.95901,146.98809,"This initiative will begin implementation of the Sustainable Water Strategy for the Central and Gippsland region, in partnership with Traditional Owners."
I_0488,Implementation of the Central and Gippsland Region Sustainable Water Strategy,Environment and Parkland,"Department of Environment, Land, Water and Planning",Effective Water Management and Supply,$57 million*,Moorabool (S),Point,-37.59987,144.22394,"This initiative will begin implementation of the Sustainable Water Strategy for the Central and Gippsland region, in partnership with Traditional Owners."
I_0067,Protecting heritage at Jacksons Hill,Strong Communities,"Department of Environment, Land, Water and Planning",Planning and Heritage,$2.2 million*,Hume (C),Point,-37.580269,144.730527,"Funding is provided to maintain the land and buildings at Jacksons Hill, Sunbury."
I_0071,Bendigo mine-impacted groundwater long-term management,Environment and Parkland,"Department of Environment, Land, Water and Planning",Effective Water Management and Supply,$52 million*,Greater Bendigo (C),Point,-36.76487,144.2703,"Funding is provided to implement a permanent solution to manage mine-impacted groundwater in central Bendigo, in the vicinity of the Central Deborah Gold Mine."
I_0072,Safer public dams,Environment and Parkland,"Department of Environment, Land, Water and Planning",Environment and Biodiversity,$9.6 million*,Mount Alexander (S),Point,-37.051164,144.275092,Funding is provided for infrastructure works to improve public safety at the Expedition Pass Dam near Castlemaine and to decommission the Upper Teddington Dam in Kara Kara National Park.
I_0073,Safer public dams,Environment and Parkland,"Department of Environment, Land, Water and Planning",Environment and Biodiversity,$9.6 million*,Northern Grampians (S),Point,-36.83263,143.25626,Funding is provided for infrastructure works to improve public safety at the Expedition Pass Dam near Castlemaine and to decommission the Upper Teddington Dam in Kara Kara National Park.
