Region,lga,investment,type,entity,theme,name,description
BARWON SW,Colac Otway,"700,000",Management of Public Land and Forests,"Department of Energy, Environment and Climate Action",Environment and Parkland,Doing what matters for local communities – environment,Funding is provided to support the Southern Otway Landcare Network Group to continue protecting and preserving the local environment and to promote sustainable land management in the regions.
HUME,Wodonga,"700,000",Management of Public Land and Forests,"Department of Energy, Environment and Climate Action",Environment and Parkland,Doing what matters for local communities – environment,"Funding is provided to support Parklands Albury Wodonga for conservation work along the Murray and Kiewa Rivers and to maintain the local bush parks, hills and rivers."
N AND W METRO,Melbourne,1500000,Digital strategy and transformation,Department of Government Services,Strong Communities,Free public access to Wi-Fi in Melbourne,Funding is provided to keep the public Wi-Fi access free and available in Melbourne’s CBD until April 2025.
N AND W METRO,Maribyrnong,"400,000",Local Government,Department of Government Services,Strong Communities,Doing what matters for local communities – local government,Funding is provided for Maribyrnong and Whittlesea City Councils for better streetscape in Footscray and public facilities in Laurimar.
N AND W METRO,Whittlesea,"400,000",Local Government,Department of Government Services,Strong Communities,Doing what matters for local communities – local government,Funding is provided for Maribyrnong and Whittlesea City Councils for better streetscape in Footscray and public facilities in Laurimar.
GIPPSLAND,Baw Baw,320000000,Admitted Services,Department of Health,Health,Hospital Infrastructure Delivery Fund ,"Funding is provided to boost capacity, improve infrastructure and ensure Victorians receive the highest quality health care. This includes the new hospital in West Gippsland."
BARWON SW,Greater Geelong,30400000,Ambulance Emergency Services; Ambulance Non-Emergency Services,Department of Health,Health,A new ambulance station for Armstrong Creek,Funding is provided for a new ambulance station in Armstrong Creek to improve ambulance response times and better support paramedics in the City of Greater Geelong and surrounding regions.
LODDON MALLE,Greater Bendigo,6000000,Regional Development,"Department of Jobs, Skills, Industry and Regions",Regional Investment,Bendigo Regional Employment Precinct,Funding is provided to support the delivery of planning works and build enabling infrastructure in the Bendigo Regional Employment Precinct.
BARWON SW,Warrnambool,"200,000",Regional Development,"Department of Jobs, Skills, Industry and Regions",Regional Investment,Doing what matters for local communities – regions,Funding is provided to upgrade St Leonards Progress Association Hall and the continuation and maintenance of the Warrnambool Community Garden.
HUME,Greater Shepparton,10000000,Sustainably Managed Fish and Boating Resources,"Department of Jobs, Skills, Industry and Regions",Sports and Recreation,Go Fishing Victoria ,Funding is provided to increase production of Victorian fish stocks. This includes Arcadia Hatchery.
HUME,Murrindindi,5000000,Sustainably Managed Fish and Boating Resources,"Department of Jobs, Skills, Industry and Regions",Sports and Recreation,Go Fishing Victoria ,Funding is provided to increase production of Victorian fish stocks. This includes Snobs Creek Hatchery.
GIPPSLAND,Bass Coast,"200,000",Sustainably Managed Fish and Boating Resources,"Department of Jobs, Skills, Industry and Regions",Sports and Recreation,Go Fishing Victoria ,Funding is provided to increase production of Victorian fish stocks. This includes Lakes Entance Oyster Farm.
GIPPSLAND,East Gippsland,"250,000",Sustainably Managed Fish and Boating Resources,"Department of Jobs, Skills, Industry and Regions",Sports and Recreation,Go Fishing Victoria ,Funding is provided to increase production of Victorian fish stocks. This includes Corinella Boating and Angling Club.
N AND W METRO,Hume,170000000,"Training, Higher Education and Workforce Development","Department of Jobs, Skills, Industry and Regions",Education,Building Better TAFE Fund,"Funding is provided for the Building Better TAFE Fund to improve lifelong education pathways, including a new TAFE campus in Sunbury."
SOUTH EASTERN METRO,Frankston,34200000,Emergency Management Capability,Department of Justice and Community Safety,Emergency Services,Delivering emergency services upgrades,Funding is provided for additional works at the Frankston VICSES satellite facility at Skye.
BARWON SW,Queenscliffe,34200000,Emergency Management Capability,Department of Justice and Community Safety,Emergency Services,Delivering emergency services upgrades,"Funding is provided to support emergency services, this includes purchasing a new marine rescue vessel for Queenscliff"
N AND W METRO,Melton,36400000,Bus Services,Department of Transport and Planning,Public Transport,Delivering Victoria's Bus Plan,"Funding is provided to deliver Victoria’s Bus Plan, including maintaining and improving bus networks. This includes Eynesbury to Melton."
GRAMPIANS,Moorabool,36400000,Bus Services,Department of Transport and Planning,Public Transport,Delivering Victoria's Bus Plan,"Funding is provided to deliver Victoria’s Bus Plan, including maintaining and improving bus networks. This includes Maddingly."
SOUTH EASTERN METRO,Casey,36400000,Bus Services,Department of Transport and Planning,Public Transport,Delivering Victoria's Bus Plan,"Funding is provided to deliver Victoria’s Bus Plan, including maintaining and improving bus networks. This includes Berwick to Clyde North."
SOUTH EASTERN METRO,Casey,36400000,Bus Services,Department of Transport and Planning,Public Transport,Delivering Victoria's Bus Plan,"Funding is provided to deliver Victoria’s Bus Plan, including maintaining and improving bus networks. This includes Berwick to Clyde North."
N AND W METRO,Wyndham,36400000,Bus Services,Department of Transport and Planning,Public Transport,Delivering Victoria's Bus Plan,"Funding is provided to deliver Victoria’s Bus Plan, including maintaining and improving bus networks. This includes Werribee to Tarneit."
N AND W METRO,Wyndham,36400000,Bus Services,Department of Transport and Planning,Public Transport,Delivering Victoria's Bus Plan,"Funding is provided to deliver Victoria’s Bus Plan, including maintaining and improving bus networks. This includes Tarneit to Williams Landing."
N AND W METRO,Hobsons Bay,46800000,Ports and Freight,Department of Transport and Planning,Strong Communities,"More piers, jetties and opportunities","Funding is provided to undertake critical works on Workshops Pier and to rebuild Dromana Pier, St Leonards Pier and Warneet Jetties."
N AND W METRO,Banyule,61600000,Road Operations,Department of Transport and Planning,Roads,Delivering Better Local Roads  ,"Funding is provided to deliver a package of local road safety upgrades for motorists, pedestrians and cyclists. This includes the shared user path between Montmorency Station and Eltham Station."
EASTERN METRO,Monash,61600000,Road Operations,Department of Transport and Planning,Roads,Delivering Better Local Roads  ,"Funding is provided to deliver a package of local road safety upgrades for motorists, pedestrians and cyclists. This includes safer and better shared user paths in Ashwood."
EASTERN METRO,Monash,61600000,Road Operations,Department of Transport and Planning,Roads,Delivering Better Local Roads  ,"Funding is provided to deliver a package of local road safety upgrades for motorists, pedestrians and cyclists. This includes the installation of electronic speed signs at Centre Road, Clayton."
SOUTH EASTERN METRO,Frankston,61600000,Road Operations,Department of Transport and Planning,Roads,Delivering Better Local Roads  ,"Funding is provided to deliver a package of local road safety upgrades for motorists, pedestrians and cyclists. This includes the installation of pedestrian operated signals at Fletcher Road, Frankston."
SOUTH EASTERN METRO,Kingston,61600000,Road Operations,Department of Transport and Planning,Roads,Delivering Better Local Roads  ,"Funding is provided to deliver a package of local road safety upgrades for motorists, pedestrians and cyclists. This includes planning an upgrade to improve safety at the intersection at Station Street and McLeod Road, Carrum."
N AND W METRO,Nillumbik,61600000,Road Operations,Department of Transport and Planning,Roads,Delivering Better Local Roads  ,"Funding is provided to deliver a package of local road safety upgrades for motorists, pedestrians and cyclists. This includes the construction of a pedestrian bridge in Diamond Creek."
N AND W METRO,Wyndham,61600000,Road Operations,Department of Transport and Planning,Roads,Delivering Better Local Roads  ,"Funding is provided to deliver a package of local road safety upgrades for motorists, pedestrians and cyclists. This includes a traffic management plan for Wyndham."
N AND W METRO,Hobsons Bay,694000000,Road Operations,Department of Transport and Planning,Roads,Road blitz to get families home sooner and safer,"Funding is provided to upgrade key roads and intersections in our major growth areas and regions in order to improve network efficiency, travel times and road safety. This includes the Point Cook Road Intersection Upgrade in Point Cook."
N AND W METRO,Wyndham,694000000,Road Operations,Department of Transport and Planning,Roads,Road blitz to get families home sooner and safer,"Funding is provided to upgrade key roads and intersections in our major growth areas and regions in order to improve network efficiency, travel times and road safety. This includes the Ballan Road Intersection Upgrade in Wyndham Vale."
SOUTH EASTERN METRO,Casey,694000000,Road Operations,Department of Transport and Planning,Roads,Road blitz to get families home sooner and safer,"Funding is provided to upgrade key roads and intersections in our major growth areas and regions in order to improve network efficiency, travel times and road safety. This includes the Thompsons Road Intersection Upgrade in Clyde North."
GRAMPIANS,Moorabool,694000000,Road Operations,Department of Transport and Planning,Roads,Road blitz to get families home sooner and safer,"Funding is provided to upgrade key roads and intersections in our major growth areas and regions in order to improve network efficiency, travel times and road safety. This includes the Grant Street Intersection Upgrade in Bacchus Marsh."
BARWON SW,Greater Geelong,694000000,Road Operations,Department of Transport and Planning,Roads,Road blitz to get families home sooner and safer,"Funding is provided to upgrade key roads and intersections in our major growth areas and regions in order to improve network efficiency, travel times and road safety. This includes the Barwon Heads Road Upgrade – Stage 2 in Armstrong Creek."
HUME,Mitchell,694000000,Road Operations,Department of Transport and Planning,Roads,Road blitz to get families home sooner and safer,"Funding is provided to upgrade key roads and intersections in our major growth areas and regions in order to improve network efficiency, travel times and road safety. This includes the Watson Street Interchange Upgrade in Wallan."
N AND W METRO,Melton,650000000,Transport Infrastructure,Department of Transport and Planning,Public Transport,Melton Line Upgrade,Funding is provided to upgrade the Melton Line to facilitate the operation of longer trains in the western rail corridor delivering better trains services and increasing train capacity.
N AND W METRO,Wyndham,618000000,New schools construction,Department of Education,Education,Point Cook South Specialist School (Interim Name),Funding is provided for planning and early works for three new schools to open in 2026.
SOUTH EASTERN METRO,Casey,618000000,New schools construction,Department of Education,Education,Casey Central Primary School (Interim Name),Funding is provided for planning and early works for three new schools to open in 2026.
N AND W METRO,Hume,618000000,New schools construction,Department of Education,Education,Lockerbie Specialist School (Interim Name),Funding is provided for planning and early works for three new schools to open in 2026.
SOUTH EASTERN METRO,Casey,618000000,New schools construction,Department of Education,Education,Clyde North Primary School (Interim Name),Funding is provided to build six new schools to open in 2025.
SOUTH EASTERN METRO,Casey,618000000,New schools construction,Department of Education,Education,Clyde North Secondary College (Interim Name),Funding is provided to build six new schools to open in 2025.
SOUTH EASTERN METRO,Cardinia,618000000,New schools construction,Department of Education,Education,Pakenham North West Primary School (Interim Name),Funding is provided to build six new schools to open in 2025.
N AND W METRO,Wyndham,618000000,New schools construction,Department of Education,Education,Riverdale North Primary School (Interim Name),Funding is provided to build six new schools to open in 2025.
SOUTH EASTERN METRO,Casey,618000000,New schools construction,Department of Education,Education,Thompsons West Primary School (Interim Name),Funding is provided to build six new schools to open in 2025.
N AND W METRO,Whittlesea,618000000,New schools construction,Department of Education,Education,Wollert Central Primary School (Interim Name),Funding is provided to build six new schools to open in 2025.
SOUTH EASTERN METRO,Port Phillip,618000000,New schools construction,Department of Education,Education,Fishermans Bend Primary School (Interim Name),Funding is provided to build three new schools to open in 2026.
N AND W METRO,Hume,618000000,New schools construction,Department of Education,Education,Lockerbie Secondary College (Interim Name),Funding is provided to build three new schools to open in 2026.
N AND W METRO,Wyndham,618000000,New schools construction,Department of Education,Education,Point Cook South P-9 College (Interim Name),Funding is provided to build three new schools to open in 2026.
